# source: https://api.nasdaq.com/api/screener/stocks?tableonly=true&download=true
# fetched: 2026-09-23T10:34:16-04:00
# rule: market cap 300M-10B, price >= 3.0; no volume rule
ticker,cap_m,sector,industry
ARI,814,Real Estate,Real Estate Investment Trusts
ARIS,3874,,
ARKO,477,Consumer Staples,Food Chains
ARLO,1404,Consumer Discretionary,Diversified Commercial Services
ARLP,3313,Energy,Coal Mining
AROC,5379,Utilities,Natural Gas Distribution
AROW,687,Finance,Major Banks
ARQQ,537,Technology,Computer Software: Prepackaged Software
ARQT,3440,Health Care,Biotechnology: Pharmaceutical Preparations
ARR,2475,Real Estate,Real Estate Investment Trusts
ARRY,591,Technology,Semiconductors
ARTNA,349,Utilities,Water Supply
ARTV,383,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARVN,553,Health Care,Biotechnology: Pharmaceutical Preparations
ARWR,9927,Health Care,Biotechnology: Pharmaceutical Preparations
ARX,4285,Finance,Specialty Insurers
ASA,1047,Industrials,Precious Metals
ASAN,2060,Technology,Computer Software: Prepackaged Software
ASB,5460,Finance,Major Banks
ASBA,3760,Finance,Major Banks
ASC,712,Consumer Discretionary,Marine Transportation
ASH,3197,Consumer Discretionary,Specialty Chemicals
ASIC,1302,Finance,Property-Casualty Insurers
ASIX,451,Industrials,Major Chemicals
ASM,1022,Basic Materials,Metal Mining
ASMB,507,Health Care,Biotechnology: Pharmaceutical Preparations
ASO,2981,Consumer Discretionary,Other Specialty Stores
ASPI,468,Industrials,Major Chemicals
ASPN,466,Consumer Discretionary,RETAIL: Building Materials
ASR,7256,Consumer Discretionary,Aerospace
ASST,2771,Finance,Finance: Consumer Services
ASTE,962,Industrials,Construction/Ag Equipment/Trucks
ASTH,1653,Consumer Discretionary,Professional Services
ASTL,461,Industrials,Steel/Iron Ore
ATAT,4420,Consumer Discretionary,Hotels/Resorts
ATEC,1578,Health Care,Medical/Dental Instruments
ATEN,1946,Telecommunications,Computer Communications Equipment
ATEX,1654,Telecommunications,Telecommunications Equipment
ATHM,2435,Technology,EDP Services
ATHS,5003,Finance,Life Insurance
ATKR,3193,Miscellaneous,Industrial Machinery/Components
ATLC,1356,Finance,Finance: Consumer Services
ATLCL,381,Finance,Finance: Consumer Services
ATLCP,364,Finance,Finance: Consumer Services
ATLCZ,388,Finance,Finance: Consumer Services
ATMU,3686,Consumer Discretionary,Auto Parts:O.E.M.
ATNI,444,Telecommunications,Telecommunications Equipment
ATR,7958,Industrials,Plastic Products
ATRC,3062,Health Care,Medical/Dental Instruments
ATRO,2973,Industrials,Military/Government/Technical
ATS,1859,Industrials,Industrial Machinery/Components
ATTO,928,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUB,5509,Finance,Major Banks
AUGO,7254,Basic Materials,Metal Mining
AUNA,385,Health Care,Medical/Nursing Services
AUPH,2226,Health Care,Biotechnology: Pharmaceutical Preparations
AURA,649,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUXX,564,,
AVA,2967,Utilities,Power Generation
AVAH,2819,Health Care,Medical/Nursing Services
AVAL,6019,Finance,Commercial Banks
AVAV,8163,Industrials,Aerospace
AVBC,433,Finance,Banks
AVBH,348,Finance,Commercial Banks
AVBP,1507,Health Care,Biotechnology: Pharmaceutical Preparations
AVEX,1886,Industrials,Aerospace
AVIR,444,Health Care,Biotechnology: Pharmaceutical Preparations
AVLN,1406,Health Care,Biotechnology: Pharmaceutical Preparations
AVNT,3764,Industrials,Major Chemicals
AVO,1110,Consumer Staples,Farming/Seeds/Milling
AVPT,2761,Technology,Computer Software: Prepackaged Software
AVR,766,Health Care,Industrial Specialties
AVT,8128,Technology,Electronic Components
AVTX,857,Health Care,Biotechnology: Pharmaceutical Preparations
AWI,6890,Industrials,Plastic Products
AWR,3294,Utilities,Water Supply
AX,5038,Finance,Savings Institutions
AXGN,2584,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXS,7043,Finance,Property-Casualty Insurers
AXTA,7009,Consumer Discretionary,Paints/Coatings
AXTI,4938,Technology,Semiconductors
AYA,4055,Basic Materials,Precious Metals
AYI,9321,Consumer Discretionary,Building Products
AZTA,1496,Technology,Industrial Machinery/Components
AZUL,1188,Consumer Discretionary,Air Freight/Delivery Services
AZZ,4104,Industrials,Industrial Specialties
BAH,9323,Consumer Discretionary,Professional Services
BALY,603,Consumer Discretionary,Hotels/Resorts
BANC,2851,Finance,Major Banks
BAND,1887,Technology,Computer Software: Prepackaged Software
BANF,3623,Finance,Major Banks
BANFP,902,Finance,Major Banks
BANR,2521,Finance,Major Banks
BATRA,3699,Consumer Discretionary,Services-Misc. Amusement & Recreation
BATRK,3389,Consumer Discretionary,Services-Misc. Amusement & Recreation
BB,4946,Technology,Computer Software: Prepackaged Software
BBAR,2882,Finance,Commercial Banks
BBCP,498,Consumer Discretionary,Engineering & Construction
BBDC,916,Finance,Diversified Financial Services
BBNX,1203,Health Care,Medical/Dental Instruments
BBOT,362,Health Care,Biotechnology: Pharmaceutical Preparations
BBSI,792,Consumer Discretionary,Professional Services
BBT,2359,Finance,Banks
BBUC,5320,Consumer Discretionary,Engineering & Construction
BBW,323,Consumer Discretionary,Recreational Games/Products/Toys
BBWI,3384,Consumer Discretionary,Other Specialty Stores
BC,4248,Industrials,Industrial Machinery/Components
BCAL,695,Finance,Major Banks
BCAT,1526,Finance,Finance/Investors Services
BCAX,1474,Health Care,Biotechnology: Pharmaceutical Preparations
BCBP,364,Finance,Savings Institutions
BCC,2733,Consumer Discretionary,RETAIL: Building Materials
BCML,327,Finance,Major Banks
BCO,4396,Industrials,Integrated Freight & Logistics
BCPC,5385,Industrials,Major Chemicals
BCRX,2222,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCSF,723,Finance,Finance/Investors Services
BCX,1044,Finance,Finance/Investors Services
BDC,4474,Industrials,Telecommunications Equipment
BDJ,1695,Finance,Finance Companies
BEAM,2633,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BELFA,2912,,
BELFB,3602,,
BEPH,4250,Utilities,Electric Utilities: Central
BEPI,4534,Utilities,Electric Utilities: Central
BEPJ,6450,Utilities,Electric Utilities: Central
BETA,5550,Industrials,Aerospace
BFAM,3147,Consumer Discretionary,Other Consumer Services
BFC,1677,Finance,Major Banks
BFH,3881,Consumer Discretionary,Business Services
BFLY,2448,Health Care,Medical Electronics
BFS,741,Real Estate,Real Estate Investment Trusts
BFST,997,Finance,Major Banks
BGC,5836,Finance,Investment Bankers/Brokers/Service
BGR,2332,Finance,Trusts Except Educational Religious and Charitable
BGSI,2227,,
BH,799,Consumer Discretionary,Restaurants
BHB,667,Finance,Major Banks
BHC,2180,Health Care,Biotechnology: Pharmaceutical Preparations
BHE,2934,Technology,Electrical Products
BHF,3058,Finance,Life Insurance
BHFAL,913,Finance,Life Insurance
BHFAM,595,Finance,Life Insurance
BHFAN,682,Finance,Life Insurance
BHFAO,831,Finance,Life Insurance
BHFAP,818,Finance,Life Insurance
BHRB,1406,Finance,Major Banks
BHVN,2198,Health Care,Biotechnology: Pharmaceutical Preparations
BILI,6254,Technology,EDP Services
BILL,3897,Technology,Computer Software: Prepackaged Software
